drug_name,num_motifs,motifs
carmustine,2,CCCl | O=CN(CCCl)N=O
carvedilol,5,CO | c1ccccc1 | CC | CC(C)O | c1ccc2c(c1)[nH]c1ccccc12
cefaclor,3,O=C(O)C1=C(Cl)CSC2CC(=O)N12 | NCC=O | c1ccccc1
cefepime,3,C[N+]1CCCC1 | CC1=C(C(=O)[O-])N2C(=O)CC2SC1 | CON=C(C=O)c1csc(N)n1
cefprozil,4,CC | CC1=C(C(=O)O)N2C(=O)CC2SC1 | NCC=O | Oc1ccccc1
ceftazidime,3,CC(C)C(=O)O | Nc1nc(C(C=O)=NO)cs1 | O=C([O-])C1=C(C[n+]2ccccc2)CSC2CC(=O)N12
ceftriaxone,3,Cn1cnc(=O)c([O-])n1 | CC1=C(C(=O)[O-])N2C(=O)CC2SC1 | CON=C(C=O)c1csc(N)n1
celecoxib,3,Cc1ccccc1 | NS(=O)(=O)c1ccccc1 | FC(F)F
cefixime,3,C=CC1=C(C(=O)O)N2C(=O)CC2SC1 | Nc1nc(C(C=O)=NO)cs1 | CC(=O)O
cerivastatin,6,CCC | Cc1cccnc1 | CCC | CC(O)CC(O)CC(=O)O | Fc1ccccc1 | CO
cetirizine,5,C1CNCCN1 | CC | CC(=O)O | c1ccccc1 | Clc1ccccc1
cevimeline,1,CC1OC2(CS1)CN1CCC2CC1
chlorambucil,4,c1ccccc1 | CCCC(=O)O | CCCl | CCCl
chlortalidone,1,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
ciclopirox,2,Cc1ccn(O)c(=O)c1 | C1CCCCC1
cilazapril,5,CC | CCCC=O | c1ccccc1 | O=C1CCCCN2CCCCN12 | O=CO
cilostazol,3,C1CCCCC1 | CCCC | O=C1CCc2ccccc2N1
cimetidine,3,Cc1cnc[nH]1 | CC | CN=C(N)NC#N
ciprofloxacin,3,C1CC1 | C1CNCCN1 | O=CO
levofloxacin,3,C1CC1 | C1CNCCN1 | O=CO
citalopram,2,CNC | CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
escitalopram,2,CNC | CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
clindamycin,6,CCC | CN1CCCC1 | C=O | CC(C)Cl | OC1COCC(O)C1O | CS
clobazam,1,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
clobetasol,3,CCC=O | CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1 | O=CCCl
clobetasone,3,CCCC=O | CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1 | O=CCCl
clomifene,5,CC | CC | CC | c1ccc(Cc2ccccc2)cc1 | ClCc1ccccc1
clomipramine,3,CNC | CCC | Clc1ccc2c(c1)Nc1ccccc1CC2
clonazepam,1,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
clonidine,2,NC1=NCCN1 | Clc1cccc(Cl)c1
clopidogrel,4,CO | CC=O | Clc1ccccc1 | c1cc2c(s1)CCNC2
clozapine,1,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
colchicine,6,CC=O | NC1CCc2ccccc2-c2cccc(=O)cc21 | CO | CO | CO | CO
cromoglicic.acid,5,O=c1ccoc2ccccc12 | CC(C)O | O=c1ccoc2ccccc12 | O=C[O-] | O=C[O-]
cyclobenzaprine,3,CNC | CCC | C1=Cc2ccccc2Cc2ccccc21
cyclophosphamide,1,O=P1(N(CCCl)CCCl)NCCCO1
ciclosporin,10,CC | CC1NC(=O)CN(C)C(=O)CNC(=O)CN(C)C(=O)CN(C)C(=O)CNC(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)C(C)NC1=O | CCC(C)CO | CC | CCC | CC(C)C | CC(C)C | CC(C)C | CCC | CC(C)C
cyproterone,3,CC=O | CC12CCCC1C1C=C(Cl)C3=CC(=O)C4CC4C3(C)C1CC2 | CC=O
danazol,1,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
dantrolene,2,O=C1CN(N=Cc2ccco2)C([O-])=N1 | O=[N+]([O-])c1ccccc1
dapsone,1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
daunorubicin,4,CC1OCCC(N)C1O | O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(O)CC3O | CO | CC=O
deferoxamine,3,CCCCCN(O)C(C)=O | CCCCCN(O)C(=O)CCC=O | NCCCCCN(O)C(=O)CCC=O
dextromethorphan,2,CN1CCC23CCCCC2C1Cc1ccccc13 | CO
eflornithine,1,NCCCC(N)(C(=O)O)C(F)F
diazepam,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
diclofenac,3,c1ccccc1 | CC(=O)[O-] | Clc1cccc(Cl)c1
dicloxacillin,5,Cc1ccno1 | Clc1cccc(Cl)c1 | C=O | CC1(C)CN2C(=O)CC2S1 | O=C[O-]
dicycloverine,5,CC | CC | CC | C=O | C1CCC(C2CCCCC2)CC1
didanosine,2,C1CCOC1 | CO
digoxin,4,CC1OCCC(O)C1O | CC1CC(O)CCO1 | CC1CC(O)CCO1 | CC12CCCCC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O
dihydrocodeine,2,CN1CCC23c4c5cccc4OC2C(O)CCC3C1C5 | CO
dihydroergotamine,4,CC1OC2(O)C3CCCN3C(=O)CN2C1=O | c1ccccc1 | C=O | CN1CCCC2c3cccc4[nH]cc(c34)CC21
diltiazem,5,CC=O | CCN1C(=O)CCSc2ccccc21 | C[NH+]C | c1ccccc1 | CO
dipyridamole,7,C1CCNCC1 | c1ncc2ncncc2n1 | C1CCNCC1 | CCO | CCO | CCO | CCO
valproic.acid,1,CCCC(CCC)C(=O)O
docetaxel,8,CC1=C2C(O)C(=O)C3(C)C(O)CC4OCC4C3CC(O)(CC1)C2(C)C | CC(O)C=O | c1ccccc1 | C=O | CC(C)C | C=O | c1ccccc1 | CC=O
dolasetron,3,O=C1CN2C3CCCC2CC1C3 | C=O | c1ccc2[nH]ccc2c1
donepezil,5,CO | O=C1CCc2ccccc21 | C1CCNCC1 | c1ccccc1 | CO
doxazosin,6,CO | Nc1ncnc2ccccc12 | C1CNCCN1 | C=O | c1ccc2c(c1)OCCO2 | CO
doxepin,3,CNC | CCC | c1ccc2c(c1)COc1ccccc1C2
droxidopa,2,Oc1ccccc1O | NC(CO)C(=O)O
trabectedin,4,Cc1cc(O)c2c(c1)CC1C(O)N3C4COC(=O)C5(CSC(c6cc(C)c7c(c64)OCO7)C3C2N1C)NCCc1cc(O)ccc15 | CO | CC=O | CO
efavirenz,1,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1
enalapril,6,CC | CCCC=O | c1ccccc1 | CCC=O | C1CCNC1 | O=CO
estazolam,1,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
estramustine,5,CC12CCCC1C1CCc3ccccc3C1CC2 | O=P(O)(O)O | C=O | CCCl | CCCl
etoposide,4,CC1OCC2OCC(O)C(O)C2O1 | O=C1OCC2C(O)c3cc4c(cc3C(c3ccc(O)cc3)C12)OCO4 | CO | CO
famciclovir,3,CC=O | CCC(C)C | CC=O
famotidine,2,NC(N)=Nc1nccs1 | CCC(N)=NS(N)(=O)=O
felbamate,4,c1ccccc1 | CCC | NC=O | NC=O
fenofibrate,5,CCC | CC(C)C=O | c1ccccc1 | C=O | Clc1ccccc1
fentanyl,5,CCC=O | C1CCNCC1 | CC | c1ccccc1 | c1ccccc1
fexofenadine,7,CC(C)C(=O)O | c1ccccc1 | CCCCO | C1CCNCC1 | CO | c1ccccc1 | c1ccccc1
finasteride,3,CC12CCCC1C1CCC3NC(=O)C=CC3(C)C1CC2 | C=O | CC(C)C
flecainide,5,C1CCNCC1 | C=O | c1ccccc1 | CC(F)(F)F | CC(F)(F)F
flucloxacillin,5,Cc1ccno1 | Fc1cccc(Cl)c1 | C=O | CC1(C)CN2C(=O)CC2S1 | O=CO
fluconazole,2,Fc1cccc(F)c1 | CC(C)O
fludarabine,2,OC1COCC1O | CO
flunisolide,2,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2O1 | O=CCO
flunitrazepam,1,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
fluocinonide,3,CC=O | CC=O | CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2O1
fluorouracil,1,O=c1[nH]cc(F)c(=O)[nH]1
fluoxetine,5,CN | CCC | c1ccccc1 | c1ccccc1 | FC(F)F
flutamide,3,CC(C)C=O | O=[N+]([O-])c1ccccc1 | FC(F)F
fluvastatin,3,CCC | CC(O)CC(O)CC(=O)O | Fc1ccccc1
fluvoxamine,4,CO | CCCCC(=NO)c1ccccc1 | CCN | FC(F)F
formoterol,6,CCC | c1ccccc1 | CO | CCO | Oc1ccccc1 | NC=O
foscarnet,1,O=C([O-])P(=O)([O-])[O-]
fosfomycin,1,CC1OC1P(=O)(O)O
fosinopril,6,CCC=O | CC(C)C | CCCCP(=O)(O)CC=O | c1ccccc1 | C1CCC(C2CCNC2)CC1 | O=C[O-]
romidepsin,4,CC | O=C1CNC(=O)C2CSSCCC=CC(CC(=O)NCC(=O)N2)OC(=O)CN1 | CCC | CCC
furosemide,3,c1ccoc1 | NS(=O)(=O)c1ccccc1Cl | O=CO
fusidic.acid,4,CC1C(O)CCC2(C)C1CCC1(C)C2C(O)CC2CCCC21C | CCCCC(=O)O | CCC | CC=O
gabapentin,3,C1CCCCC1 | CC(=O)O | CN
galantamine,2,CN1CCC23C=CC(O)CC2Oc2cccc(c23)C1 | CO
ganciclovir,2,CO | OCCCO
gemcitabine,2,OC1COCC1(F)F | CO
gemfibrozil,2,Cc1ccc(C)cc1 | CCCC(C)(C)C(=O)O
gliclazide,2,Cc1ccc([SH](=O)=O)cc1 | O=CNN1CC2CCCC2C1
glimepiride,6,CCC1=C(C)CNC1=O | C=O | CC | O=[SH](=O)c1ccccc1 | C=O | CC1CCCCC1
glipizide,6,Cc1cnccn1 | C=O | CC | O=[SH](=O)c1ccccc1 | C=O | C1CCCCC1
glycopyrronium.bromide,4,C[N+]1(C)CCCC1 | O=CCO | C1CCCC1 | c1ccccc1
granisetron,3,CN1C2CCCC1CCC2 | C=O | Cn1ncc2ccccc21
guanfacine,2,Clc1cccc(Cl)c1 | CC(=O)N=C(N)N
haloperidol,4,OC1CCNCC1 | Clc1ccccc1 | CCCC=O | Fc1ccccc1
hydralazine,1,NNc1nncc2ccccc12
hydrochlorothiazide,1,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
hydrocortisone,3,CCCC=O | CC12CCCC1C1CCC3=CC(=O)CCC3(C)C1C(O)C2 | O=CCO
hydromorphone,1,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5
hydroxycarbamide,1,NC(=O)NO
hyoscyamine,3,CN1C2CCCC1CC2 | O=CCCO | c1ccccc1
ibuprofen,3,CC(C)C | c1ccccc1 | CCC(=O)O
lidocaine,4,CC | CC | CC=O | Cc1cccc(C)c1
idarubicin,3,CC1OCCC(N)C1O | O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(O)CC3O | CC=O
ifosfamide,1,O=P1(NCCCl)OCCCN1CCCl
imipramine,3,CNC | CCC | c1ccc2c(c1)CCc1ccccc1N2
indapamide,2,CC1Cc2ccccc2N1NC=O | NS(=O)(=O)c1ccccc1Cl
indinavir,7,CC(C)C | C=O | C1CNCCN1 | CC(O)CC(C)C=O | c1ccccc1 | NC1c2ccccc2CC1O | c1ccncc1
indometacin,4,Cc1cc2ccccc2n1C=O | Clc1ccccc1 | CO | CC(=O)O
iodixanol,13,CC=O | CC(C)O | Ic1cc(I)cc(I)c1 | C=O | CC(O)CO | C=O | CC(O)CO | CC=O | Ic1cc(I)cc(I)c1 | C=O | CC(O)CO | C=O | CC(O)CO
iohexol,7,CC=O | CC(O)CO | Ic1cc(I)cc(I)c1 | C=O | CC(O)CO | C=O | CC(O)CO
iopamidol,6,CC(O)C=O | Ic1cc(I)cc(I)c1 | C=O | OCCCO | C=O | OCCCO
iopromide,8,CN | CC(O)CO | C=O | Ic1cc(I)cc(I)c1 | C=O | CC(O)CO | CC=O | CO
iotrolan,13,CN | Ic1cc(I)cc(I)c1 | C=O | OCCC(O)CO | C=O | OCCC(O)CO | O=CCC=O | CN | Ic1cc(I)cc(I)c1 | C=O | OCCC(O)CO | C=O | OCCC(O)CO
ipratropium.bromide,4,CCC | C[N+]1C2CCCC1CC2 | O=CCCO | c1ccccc1
irbesartan,4,CCCCC1=NC2(CCCC2)C(=O)N1 | c1ccccc1 | c1ccccc1 | c1nn[nH]n1
irinotecan,5,CC | CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1 | C=O | C1CCNCC1 | C1CCNCC1
isradipine,4,CC1=C(C=O)CC(C=O)=C(C)N1 | CCC | c1ccc2nonc2c1 | CO
itraconazole,7,CCCC | O=C1N=CN=N1 | c1ccccc1 | C1CNCCN1 | c1ccccc1 | C1COCO1 | Clc1cccc(Cl)c1
ketorolac,3,O=C(O)C1CCn2cccc21 | C=O | c1ccccc1
labetalol,5,CCCC | c1ccccc1 | CCO | Oc1ccccc1 | NC=O
lamivudine,2,C1CSCO1 | CO
lamotrigine,2,Clc1ccccc1Cl | Nc1cnnc(N)n1
dexlansoprazole,3,Cc1cccnc1 | CS(=O)c1nc2ccccc2[nH]1 | CC(F)(F)F
lansoprazole,3,Cc1cccnc1 | CS(=O)c1nc2ccccc2[nH]1 | CC(F)(F)F
latanoprost,6,CCC | CCCCC=O | CC | OC1CCC(O)C1 | CCC(O)CC | c1ccccc1
leflunomide,4,Cc1ccno1 | C=O | c1ccccc1 | FC(F)F
letrozole,2,N#Cc1ccccc1 | N#Cc1ccccc1
linezolid,4,CC=O | O=C1NCCO1 | Fc1ccccc1 | C1COCCN1
lisinopril,5,C1CCNC1 | NCCCCCC=O | CCCC(=O)O | c1ccccc1 | O=CO
lomefloxacin,3,CC | CC1CNCCN1 | O=CO
loratadine,4,CC | C=O | C1CCNCC1 | Clc1ccc2c(c1)CCc1cccnc1C2
lorazepam,1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
losartan,5,CCCC | c1ccccc1 | c1ccccc1 | c1nn[nH]n1 | CO
lovastatin,4,CCC(C)C=O | CC1C=C2C=CC(C)CC2CC1 | CC | O=C1CC(O)CCO1
loxapine,1,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
maprotiline,2,CN | CCCC12CCC(c3ccccc31)c1ccccc12
chlormethine,3,CN | CCCl | CCCl
medroxyprogesterone,3,CC1CC2C3CCCC3(C)CCC2C2(C)CCC(=O)C=C12 | CC=O | CC=O
megestrol,3,CC1=CC2C3CCCC3(C)CCC2C2(C)CCC(=O)C=C12 | CC=O | CC=O
meloxicam,2,Cc1cncs1 | CN1C(C=O)=C([O-])c2ccccc2S1(=O)=O
melphalan,4,c1ccccc1 | CC(N)C(=O)O | CCCl | CCCl
memantine,1,CC12CC3CC(C)(C1)CC(N)(C3)C2
mesalazine,2,Nc1ccc(O)cc1 | O=CO
orciprenaline,3,CCC | CCO | Oc1cccc(O)c1
metformin,1,CN(C)C(=N)N=C(N)N
methotrexate,5,CN | Nc1nc(N)c2nccnc2n1 | c1ccccc1 | C=O | O=C(O)CCCC(=O)O
methylphenidate,4,CO | CC=O | C1CCNCC1 | c1ccccc1
metolazone,2,CC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1 | Cc1ccccc1
metoprolol,5,CCC | CC(C)O | c1ccccc1 | CC | CO
metronidazole,1,CCO
metyrapone,3,CC(C)C=O | c1ccncc1 | c1ccncc1
mexiletine,2,Cc1cccc(C)c1 | CC(C)N
mianserin,1,CN1CCN2c3ccccc3Cc3ccccc3C2C1
miconazole,3,Clc1cccc(Cl)c1 | CC | Clc1cccc(Cl)c1
midazolam,1,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
midodrine,5,CO | c1ccccc1 | CO | CCO | NCC=O
mifepristone,3,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3CCC21C | c1ccccc1 | CNC
mirtazapine,1,CN1CCN2c3ncccc3Cc3ccccc3C2C1
mitoxantrone,5,O=C1c2ccccc2C(=O)c2c(O)ccc(O)c21 | CC | CCO | CC | CCO
armodafinil,3,c1ccccc1 | CS(=O)CC(N)=O | c1ccccc1
modafinil,3,c1ccccc1 | CS(=O)CC(N)=O | c1ccccc1
mometasone,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1 | O=CCCl | C=O | c1ccoc1
montelukast,7,CC(C)O | c1ccccc1 | CCC | Cc1ccccc1 | Cc1ccc2ccc(Cl)cc2n1 | C1CC1 | CC(=O)O
morphine,1,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
moxifloxacin,4,CO | C1CNC2CNCC2C1 | C1CC1 | O=CO
mupirocin,6,CCC(C)O | C1CO1 | OC1CCOCC1O | CCC | CC=O | CCCCCCCCC(=O)O
mycophenolic.acid,4,Cc1ccc(O)c2c1COC2=O | CC | CCCCC(=O)O | CO
technetium.(99mTc).tetrofosmin,5,CC | CCP(CC)CCP(CC)CC | CC | CC | CC
nabumetone,3,CCC(C)=O | c1ccc2ccccc2c1 | CO
nadolol,3,CC(C)C | CC(C)O | OC1Cc2ccccc2CC1O
nalmefene,2,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5 | C1CC1
naltrexone,2,C1CC1 | O=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3)C1O5
naphazoline,2,CC1=NCCN1 | c1ccc2ccccc2c1
naratriptan,4,CN | CC[SH](=O)=O | c1ccc2[nH]ccc2c1 | CN1CCCCC1
nateglinide,5,CCC | C1CCCCC1 | C=O | CCC(=O)O | c1ccccc1
nefazodone,7,CC | O=C1N=CN=N1 | CC | c1ccccc1 | CCC | C1CNCCN1 | Clc1ccccc1
nelfinavir,7,Cc1ccccc1O | C=O | CCC(C)O | c1ccccc1 | C1CCC2CNCCC2C1 | C=O | CC(C)C
nevirapine,2,Cc1ccnc2c1NC(=O)c1cccnc1N2 | C1CC1
nifedipine,4,CC1=C(C=O)CC(C=O)=C(C)N1 | CO | O=[N+]([O-])c1ccccc1 | CO
nilutamide,3,CC1(C)NC(=O)NC1=O | O=[N+]([O-])c1ccccc1 | FC(F)F
nimodipine,5,CC1=C(C=O)CC(C=O)=C(C)N1 | CCC | O=[N+]([O-])c1ccccc1 | CC | CO
nisoldipine,4,CC1=C(C=O)CC(C=O)=C(C)N1 | CC(C)C | O=[N+]([O-])c1ccccc1 | CO
glyceryl.trinitrate,4,CCC | O=[N+]([O-])O | O=[N+]([O-])O | O=[N+]([O-])O
nizatidine,4,CNC(N)=C[N+](=O)[O-] | CC | c1cscn1 | CNC
norfloxacin,3,CC | C1CNCCN1 | O=CO
levonorgestrel,2,CC | C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21
repaglinide,7,CC | c1ccccc1 | CC=O | CCC(C)C | c1ccccc1 | C1CCNCC1 | O=CO
ofloxacin,3,CC1COc2cc(F)cc3c(=O)ccn1c23 | CN1CCNCC1 | O=CO
olanzapine,1,Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1
omeprazole,4,Cc1cncc(C)c1 | CO | CS(=O)c1nc2ccccc2[nH]1 | CO
ondansetron,1,Cn1c2c(c3ccccc31)C(=O)CCC2
orlistat,5,CCCCCCCCCCCCC | O=C1CCO1 | CCCCCC | CC(C)CCC=O | NC=O
oseltamivir,4,CCCCC | NC1CCC=C(C=O)C1 | CC=O | CC
oxaliplatin,2,[NH-]C1CCCCC1[NH-] | O=C(O)C(=O)O
oxybutynin,6,CC | CC | CC#CC | O=CCO | C1CCCCC1 | c1ccccc1
oxycodone,2,CN1CCC23c4c5cccc4OC2C(=O)CCC3(O)C1C5 | CO
