motif_smiles,total_occurrences,num_drugs_containing,percent_drugs,molecular_weight,num_atoms
Ic1cc(I)cc(I)c1,7,5,0.67,455.8,9
C1COCCN1,7,7,0.94,87.12,6
CCCCC,7,7,0.94,72.15,5
CCCCC(=O)O,6,6,0.8,102.13,7
OC1CCOC1,6,6,0.8,88.11,6
CCCC(=O)O,6,6,0.8,88.11,6
OC1COCC(O)C1O,6,6,0.8,134.13,9
CC(F)(F)F,6,5,0.67,84.04,5
CN1CCNCC1,6,6,0.8,100.16,7
CCCCCC,6,6,0.8,86.18,6
CCCO,6,6,0.8,60.1,4
O=S(=O)([O-])O,6,2,0.27,97.07,5
CCN,5,5,0.67,45.08,3
O=P(O)(O)O,5,5,0.67,97.99,5
CS(=O)(=O)O,5,3,0.4,96.11,5
c1nn[nH]n1,5,5,0.67,70.05,5
Cc1cccnc1,5,5,0.67,93.13,7
Cc1ccno1,5,5,0.67,83.09,6
CC(C)C=O,5,5,0.67,72.11,5
c1ccoc1,5,5,0.67,68.07,5
O=[SH](=O)c1ccccc1,5,5,0.67,142.18,9
OCCC(O)CO,5,2,0.27,106.12,7
CS(=O)c1nc2ccccc2[nH]1,5,5,0.67,180.23,12
O=[N+]([O-])O,5,3,0.4,63.01,4
c1ccc2ncncc2c1,5,5,0.67,130.15,10
C[N+](C)C,4,4,0.54,59.11,4
CC(O)CC(=O)O,4,4,0.54,104.1,7
O=C(O)CCCC(=O)O,4,4,0.54,132.12,9
O=C1c2ccccc2C(=O)c2c(O)c3c(c(O)c21)CC(O)CC3O,4,4,0.54,326.3,24
Nc1ncnc2ccccc12,4,4,0.54,145.16,11
CC1(C)CN2C(=O)CC2S1,4,4,0.54,157.24,10
Nc1ccc([SH](=O)=O)cc1,4,4,0.54,157.19,10
NC1=NCCN1,4,4,0.54,85.11,6
CC(C)C(=O)O,4,4,0.54,88.11,6
NS(=O)(=O)c1ccccc1,4,4,0.54,157.19,10
C=CC,4,3,0.4,42.08,3
CCCCCC=O,4,4,0.54,100.16,7
c1ccc(Cc2ccccc2)cc1,4,4,0.54,168.24,13
CC(O)C=O,4,4,0.54,74.08,5
C1CCCC1,4,4,0.54,70.14,5
O=C1NCCO1,4,4,0.54,87.08,6
CC(N)C(=O)O,4,3,0.4,89.09,6
C1CO1,4,4,0.54,44.05,3
OC1CCCCC1,4,4,0.54,100.16,7
NC(=O)CCC(=O)O,4,4,0.54,117.1,8
CN1CCCC1,3,3,0.4,85.15,6
c1ccc2ncccc2c1,3,3,0.4,129.16,10
Cn1c(=O)c2[nH]cnc2n(C)c1=O,3,2,0.27,180.17,13
c1ccc2occc2c1,3,3,0.4,118.13,9
CC1CCOC(C)C1O,3,3,0.4,130.19,9
CC1CCC(O)CO1,3,3,0.4,116.16,8
Nc1nc(C(C=O)=NO)cs1,3,3,0.4,171.18,11
CC(O)CC(O)CC(=O)O,3,3,0.4,148.16,10
O=CCCl,3,3,0.4,78.5,4
Oc1ccccc1O,3,2,0.27,110.11,8
CCCCO,3,2,0.27,74.12,5
OCCCO,3,2,0.27,76.09,5
O=C1N=CN=N1,3,3,0.4,83.05,6
C1CSCO1,3,3,0.4,90.15,5
Clc1ccccc1Cl,3,3,0.4,147.0,8
OC(F)F,3,3,0.4,68.02,4
Fc1ccc2cnoc2c1,3,3,0.4,137.11,10
O=C1CCCC(=O)N1,3,3,0.4,113.12,8
CC1=C(C)C(C)(C)CCC1,3,3,0.4,138.25,10
CC(C)C(N)C=O,3,3,0.4,101.15,7
O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,3,3,0.4,391.48,25
Cc1ccccc1C,3,3,0.4,106.17,8
CC1C(S)=C(C(=O)O)N2C(=O)CC12,3,3,0.4,199.23,13
O=CSCF,3,3,0.4,94.11,5
Cn1cnc2ccccc21,3,3,0.4,132.17,10
CCl,3,3,0.4,50.49,2
CC1CC(O)CC1O,3,3,0.4,116.16,8
OC1CCOCC1,3,2,0.27,102.13,7
NS(=O)(=O)[O-],3,1,0.13,96.09,5
OCCO,3,3,0.4,62.07,4
Fc1ccccc1Cl,3,3,0.4,130.55,8
CC(C)(C)CC=O,3,3,0.4,100.16,7
O=C([O-])[O-],3,1,0.13,60.01,4
N#CCC=O,3,3,0.4,69.06,5
CCCCCCCCCCCCCCCC=O,3,2,0.27,240.43,17
CC1NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CCSSCC2NC(=O)CCSSCC(NC(=O)CNC(=O)CNC(=O)CNC2=O)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O,3,3,0.4,1799.98,119
NC(C=O)CO,3,3,0.4,89.09,6
CCCCCC(C)O,2,2,0.27,116.2,8
CC1CC(=O)CC1O,2,2,0.27,114.14,8
CCCCCCC(=O)O,2,2,0.27,130.19,9
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,2,2,0.27,272.39,20
CCC(=O)[O-],2,2,0.27,73.07,5
CC1OCCC([NH3+])C1O,2,2,0.27,132.18,9
O=C1CNC(=O)N1,2,2,0.27,100.08,7
C1=CCCC1,2,2,0.27,68.12,5
Cc1cnc[nH]1,2,2,0.27,82.11,6
CC(C)C#N,2,1,0.13,69.11,5
CC1CCNCC1,2,2,0.27,99.18,7
CCC(O)CC(O)CC(=O)O,2,2,0.27,162.19,11
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CC1OCOC12,2,2,0.27,330.42,24
C1CCC1,2,2,0.27,56.11,4
c1cc2c3c(c[nH]c3c1)CC1NCCCC21,2,2,0.27,212.3,16
CC12CCCCC1CCC2,2,2,0.27,138.25,10
O=CN(CCCl)N=O,2,2,0.27,136.54,8
CC1=C(C(=O)[O-])N2C(=O)CC2SC1,2,2,0.27,198.22,13
CON=C(C=O)c1csc(N)n1,2,2,0.27,185.21,12
CC1=C(C(=O)O)N2C(=O)CC2SC1,2,2,0.27,199.23,13
O=C1CCc2ccccc2N1,2,2,0.27,147.18,11
CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,2,2,0.27,281.33,21
c1cc2c(s1)CCNC2,2,2,0.27,139.22,9
O=c1ccoc2ccccc12,2,1,0.13,146.14,11
CC1OCCC(N)C1O,2,2,0.27,131.18,9
CC1CC(O)CCO1,2,1,0.13,116.16,8
C[NH+]C,2,2,0.27,45.09,3
c1ccc2c(c1)OCCO2,2,2,0.27,136.15,10
c1ccc2c(c1)COc1ccccc1C2,2,2,0.27,196.25,15
O=C1OCC2C(O)c3cc4c(cc3C(c3ccc(O)cc3)C12)OCO4,2,2,0.27,340.33,25
CCC(C)C,2,2,0.27,72.15,5
NS(=O)(=O)c1ccccc1Cl,2,2,0.27,191.64,11
CN1C2CCCC1CC2,2,2,0.27,125.22,9
C1COCO1,2,2,0.27,74.08,5
CC1CNCCN1,2,2,0.27,100.17,7
Clc1ccc2c(c1)CCc1cccnc1C2,2,2,0.27,229.71,16
CCC(C)C=O,2,2,0.27,86.13,6
CC1C=C2C=CC(C)CC2CC1,2,2,0.27,162.28,12
O=C1CC(O)CCO1,2,2,0.27,116.12,8
Oc1cccc(O)c1,2,2,0.27,110.11,8
CS(=O)CC(N)=O,2,2,0.27,121.16,7
CC1=NCCN1,2,2,0.27,84.12,6
CN1CCCCC1,2,2,0.27,99.18,7
C1CCC2CNCCC2C1,2,2,0.27,139.24,10
CC#CC,2,2,0.27,54.09,4
N=C(N)c1ccccc1,2,1,0.13,120.15,9
O=C1CSC(=O)N1,2,2,0.27,117.13,7
C[n+]1ccccc1,2,2,0.27,94.14,7
c1ccc2c(c1)CCNC2,2,2,0.27,133.19,10
CC1=CC=CC=CC(C)CC(C)C(=O)CC(O)C(C)=CC(C)C(=O)CCOC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CC1)CCC2C,2,2,0.27,683.88,49
C1C2CC3CC1CC(C2)C3,2,2,0.27,136.24,10
O=C1Cc2ccccc2N1,2,2,0.27,133.15,10
C#CC,2,2,0.27,40.06,3
CC(O)(P(=O)(O)O)P(=O)(O)O,2,2,0.27,206.03,11
CCC1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC(C)CC(C)=CCC(=O)CC(O)C1C)CCC2C,2,2,0.27,563.73,40
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,2,2,0.27,288.43,21
O=C1NC(=O)c2ccccc21,2,2,0.27,147.13,11
NS(=O)(=O)O,2,2,0.27,97.09,5
ClCCCc1ccccc1,2,2,0.27,154.64,10
C1CCC2NCCC2C1,2,2,0.27,125.21,9
Nc1ccnc(N)n1,2,2,0.27,110.12,8
CC(C)CC(=O)O,2,2,0.27,102.13,7
CC1OCCC(C)(N)C1O,2,2,0.27,145.2,10
O=C1CC(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2)C(NC(=O)CN1)C(=O)NC1C(=O)NC(C(=O)NC(C(=O)O)c2cc(O)cc(O)c2-c2cc1ccc2O)C(O)c1ccc(c(Cl)c1)O3,2,2,0.27,928.69,65
NC1CSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O,2,2,0.27,406.49,26
O=C1CNCC(=O)N1,2,1,0.13,114.1,8
Brc1ccccc1,2,2,0.27,157.01,7
O=CC(=O)O,2,1,0.13,74.03,5
CC1c2ccccc2CC[N+]1C,2,1,0.13,161.25,12
CCCCCCC,2,1,0.13,100.2,7
c1ccc2sncc2c1,2,2,0.27,135.19,9
CC(C)(C)C=O,2,1,0.13,86.13,6
O=P(CO)(OCO)OCO,2,2,0.27,172.07,10
C1CNCCNCCCNCCNC1,2,1,0.13,200.33,14
Fc1ccc2c(c1)CCCO2,2,1,0.13,152.17,11
c1ccc2c(c1)CCO2,2,2,0.27,120.15,9
NS(N)(=O)=O,2,2,0.27,96.11,5
c1cnccn1,2,2,0.27,80.09,6
Nc1ccccc1,2,2,0.27,93.13,7
C1CC2CCC(C1)N2,2,2,0.27,111.19,8
Cc1cc(C)c(C)[nH]1,2,2,0.27,109.17,8
C1CN2CCC1CC2,2,2,0.27,111.19,8
C=CCN,2,2,0.27,57.1,4
CC1CN2C(=O)CNC(=O)CNC(=O)C3CC(O)CN3C(=O)CNC(=O)CCC(O)C(O)NC(=O)C2C1O,2,2,0.27,542.55,38
CC(O)C(O)C(O)C(O)CO,2,1,0.13,166.17,11
CCS(C)(=O)=O,2,2,0.27,108.16,6
NC(=O)CCO,2,2,0.27,89.09,6
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1,2,2,0.27,336.42,24
Cc1ccccn1,2,2,0.27,93.13,7
CC[PH+](CC)CC,2,1,0.13,119.17,7
CC1=CCC2CC(CC3(CCC(C)CO3)O2)OC(=O)C2C=C(C)C(O)C3OCC(=CC=CC(C)C1)C23O,2,1,0.13,514.66,37
CC1CCCCO1,2,1,0.13,100.16,7
CC1OCCCC1O,2,1,0.13,116.16,8
C1=NC=NC1,2,2,0.27,68.08,5
c1ncc2cc[nH]c2n1,2,2,0.27,119.13,9
C1C[N+]2CCC1CC2,2,2,0.27,111.19,8
NC(=O)CCCC(=O)O,2,2,0.27,131.13,9
NC(N)=NCCCCCC=O,2,1,0.13,157.22,11
O=C(O)CCC(=O)O,2,2,0.27,118.09,8
NCC(=O)CCC(=O)O,1,1,0.13,131.13,9
Nc1nc(=O)c2c([nH]1)NCCN2C=O,1,1,0.13,195.18,14
CC1C(O)CC2OCCC21,1,1,0.13,142.2,10
OCC(O)C(O)C(O)C(O)CO,1,1,0.13,182.17,12
O=C(O)CCS,1,1,0.13,106.15,6
O=S(=O)(O)CCS,1,1,0.13,142.2,7
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,1,1,0.13,270.37,20
NC(=O)CCC(N)C(=O)O,1,1,0.13,146.15,10
O=C(O)O,1,1,0.13,62.02,4
O=P([O-])(O)O,1,1,0.13,96.99,5
C=CC1CN2CCC1CC2,1,1,0.13,137.23,10
Nc1nc(=O)c2c([nH]1)NCCN2,1,1,0.13,167.17,12
Nc1ccncc1,1,1,0.13,94.12,7
CC1C=CC=CC=CC=CC=CC=CC=CCCC2CC(O)CC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)O2,1,1,0.13,718.93,51
CC1OCC(O)C(N)C1O,1,1,0.13,147.17,10
c1ccc2[nH]cnc2c1,1,1,0.13,118.14,9
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1,1,0.13,249.1,14
O=c1ncnc2[nH][nH]cc1-2,1,1,0.13,136.11,10
Cn1c2c(c3ccccc31)C(=O)NCC2,1,1,0.13,200.24,15
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,1,0.13,308.77,22
NC12CC3CC(CC(C3)C1)C2,1,1,0.13,151.25,11
Ic1cccc(I)c1,1,1,0.13,329.91,8
CCS(=O)(=O)c1ccccc1N,1,1,0.13,185.25,12
Nc1ccc2c(=O)c3ccccc3oc2n1,1,1,0.13,212.21,16
c1ccc2nc3ccccc3cc2c1,1,1,0.13,179.22,14
O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,1,1,0.13,256.09,16
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,1,1,0.13,267.33,20
Nc1cc(Cl)cc(Cl)c1,1,1,0.13,162.02,9
CC1CNc2c(cccc2[SH](=O)=O)C1,1,1,0.13,211.29,14
Cn1cnc([N+](=O)[O-])c1,1,1,0.13,127.1,9
c1ncc2[nH]cnc2n1,1,1,0.13,120.11,9
O=C(O)CCCCCCCC(=O)O,1,1,0.13,188.22,13
CN1CCCCCC1,1,1,0.13,113.2,8
CC1CC(C)C(=O)OCC(C)(O)C(O)C(C)N(C)CC(C)CC(C)(O)C1,1,1,0.13,373.53,26
CC1CC(=O)N1S(=O)(=O)O,1,1,0.13,165.17,10
NCCCC(=O)O,1,1,0.13,103.12,7
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1O,1,1,0.13,350.89,24
O=C(O)CN1C(=O)CCCc2ccccc21,1,1,0.13,219.24,16
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1O,1,1,0.13,334.43,24
CC(O)(C=O)CS(=O)(=O)c1ccc(F)cc1,1,1,0.13,246.26,16
Brc1cccc2nccnc12,1,1,0.13,209.05,11
O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,1,1,0.13,316.16,19
O=C1CN2C(=O)COC2(O)C2CCCN12,1,1,0.13,212.2,15
CN1CCC=C2c3cccc4[nH]c(Br)c(c34)CC21,1,1,0.13,303.2,18
CC(O)C(C)(C)C,1,1,0.13,102.18,7
Oc1ccc2c3c1OC1C4CCC5(CC4)C(C2)NCCC315,1,1,0.13,283.37,21
O=C1CC2(CCCC2)CC(=O)N1,1,1,0.13,167.21,12
Oc1ccc2c(c1)C13CCCCC1(O)C(C2)NCC3,1,1,0.13,259.35,19
Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,1,0.13,194.19,14
CCCC(C#N)C(C)C,1,1,0.13,125.21,9
CCCCCC(C)(C)O,1,1,0.13,130.23,9
C=C1CCC(O)CC1O,1,1,0.13,128.17,9
C1=Cc2ccccc2Nc2ccccc21,1,1,0.13,193.25,15
c1ccc2c(c1)[nH]c1ccccc12,1,1,0.13,167.21,13
O=C(O)C1=C(Cl)CSC2CC(=O)N12,1,1,0.13,219.65,13
C[N+]1CCCC1,1,1,0.13,85.15,6
O=C([O-])C1=C(C[n+]2ccccc2)CSC2CC(=O)N12,1,1,0.13,276.32,19
Cn1cnc(=O)c([O-])n1,1,1,0.13,126.09,9
C=CC1=C(C(=O)O)N2C(=O)CC2SC1,1,1,0.13,211.24,14
CC1OC2(CS1)CN1CCC2CC1,1,1,0.13,199.32,13
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,1,1,0.13,338.77,22
Cc1ccn(O)c(=O)c1,1,1,0.13,125.13,9
O=C1CCCCN2CCCCN12,1,1,0.13,168.24,12
CN=C(N)NC#N,1,1,0.13,98.11,7
CC(C)Cl,1,1,0.13,78.54,4
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,1,1,0.13,300.75,21
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1,1,1,0.13,318.43,23
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1,1,1,0.13,316.42,23
ClCc1ccccc1,1,1,0.13,126.59,8
Clc1ccc2c(c1)Nc1ccccc1CC2,1,1,0.13,229.71,16
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,1,1,0.13,315.72,22
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,1,1,0.13,326.83,23
NC1CCc2ccccc2-c2cccc(=O)cc21,1,1,0.13,237.3,18
C1=Cc2ccccc2Cc2ccccc21,1,1,0.13,192.26,15
O=P1(N(CCCl)CCCl)NCCCO1,1,1,0.13,261.09,14
CC1NC(=O)CN(C)C(=O)CNC(=O)CN(C)C(=O)CN(C)C(=O)CNC(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)CN(C)C(=O)C(C)NC1=O,1,1,0.13,753.81,53
CCC(C)CO,1,1,0.13,88.15,6
CC12CCCC1C1C=C(Cl)C3=CC(=O)C4CC4C3(C)C1CC2,1,1,0.13,316.87,22
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,1,1,0.13,337.46,25
O=C1CN(N=Cc2ccco2)C([O-])=N1,1,1,0.13,192.15,14
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1,1,0.13,248.31,17
CCCCCN(O)C(C)=O,1,1,0.13,145.2,10
CCCCCN(O)C(=O)CCC=O,1,1,0.13,187.24,13
NCCCCCN(O)C(=O)CCC=O,1,1,0.13,202.25,14
CN1CCC23CCCCC2C1Cc1ccccc13,1,1,0.13,241.38,18
NCCCC(N)(C(=O)O)C(F)F,1,1,0.13,182.17,12
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,1,1,0.13,284.75,20
C1CCC(C2CCCCC2)CC1,1,1,0.13,166.31,12
CC1OCCC(O)C1O,1,1,0.13,132.16,9
CC12CCCCC1CCC1C2CC(O)C2(C)C(C3=CC(=O)OC3)CCC12O,1,1,0.13,374.52,27
CN1CCC23c4c5cccc4OC2C(O)CCC3C1C5,1,1,0.13,271.36,20
CC1OC2(O)C3CCCN3C(=O)CN2C1=O,1,1,0.13,226.23,16
CN1CCCC2c3cccc4[nH]cc(c34)CC21,1,1,0.13,226.32,17
CCN1C(=O)CCSc2ccccc21,1,1,0.13,207.3,14
c1ncc2ncncc2n1,1,1,0.13,132.13,10
CCCC(CCC)C(=O)O,1,1,0.13,144.21,10
CC1=C2C(O)C(=O)C3(C)C(O)CC4OCC4C3CC(O)(CC1)C2(C)C,1,1,0.13,350.46,25
O=C1CN2C3CCCC2CC1C3,1,1,0.13,165.24,12
O=C1CCc2ccccc21,1,1,0.13,132.16,10
NC(CO)C(=O)O,1,1,0.13,105.09,7
Cc1cc(O)c2c(c1)CC1C(O)N3C4COC(=O)C5(CSC(c6cc(C)c7c(c64)OCO7)C3C2N1C)NCCc1cc(O)ccc15,1,1,0.13,643.76,46
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,1,1,0.13,315.68,21
Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,1,1,0.13,294.75,21
CC12CCCC1C1CCc3ccccc3C1CC2,1,1,0.13,240.39,18
CC1OCC2OCC(O)C(O)C2O1,1,1,0.13,190.19,13
NC(N)=Nc1nccs1,1,1,0.13,142.19,9
CCC(N)=NS(N)(=O)=O,1,1,0.13,151.19,9
CC12CCCC1C1CCC3NC(=O)C=CC3(C)C1CC2,1,1,0.13,273.42,20
Fc1cccc(Cl)c1,1,1,0.13,130.55,8
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2O1,1,1,0.13,376.47,27
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,1,1,0.13,313.29,23
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2O1,1,1,0.13,394.46,28
O=c1[nH]cc(F)c(=O)[nH]1,1,1,0.13,130.08,9
CCCCC(=NO)c1ccccc1,1,1,0.13,177.25,13
O=C([O-])P(=O)([O-])[O-],1,1,0.13,122.98,7
CC1OC1P(=O)(O)O,1,1,0.13,138.06,8
CCCCP(=O)(O)CC=O,1,1,0.13,164.14,10
C1CCC(C2CCNC2)CC1,1,1,0.13,153.27,11
O=C1CNC(=O)C2CSSCCC=CC(CC(=O)NCC(=O)N2)OC(=O)CN1,1,1,0.13,430.51,28
CC1C(O)CCC2(C)C1CCC1(C)C2C(O)CC2CCCC21C,1,1,0.13,320.52,23
CN1CCC23C=CC(O)CC2Oc2cccc(c23)C1,1,1,0.13,257.33,19
OC1COCC1(F)F,1,1,0.13,124.09,8
Cc1ccc(C)cc1,1,1,0.13,106.17,8
CCCC(C)(C)C(=O)O,1,1,0.13,130.19,9
Cc1ccc([SH](=O)=O)cc1,1,1,0.13,156.21,10
O=CNN1CC2CCCC2C1,1,1,0.13,154.21,11
CCC1=C(C)CNC1=O,1,1,0.13,125.17,9
CC1CCCCC1,1,1,0.13,98.19,7
Cc1cnccn1,1,1,0.13,94.12,7
C[N+]1(C)CCCC1,1,1,0.13,100.19,7
CN1C2CCCC1CCC2,1,1,0.13,139.24,10
Cn1ncc2ccccc21,1,1,0.13,132.17,10
CC(=O)N=C(N)N,1,1,0.13,101.11,7
OC1CCNCC1,1,1,0.13,101.15,7
NNc1nncc2ccccc12,1,1,0.13,160.18,12
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,1,1,0.13,297.75,17
CC12CCCC1C1CCC3=CC(=O)CCC3(C)C1C(O)C2,1,1,0.13,288.43,21
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,1,0.13,285.34,21
NC(=O)NO,1,1,0.13,76.05,5
O=P1(NCCCl)OCCCN1CCCl,1,1,0.13,261.09,14
c1ccc2c(c1)CCc1ccccc1N2,1,1,0.13,195.27,15
CC1Cc2ccccc2N1NC=O,1,1,0.13,176.22,13
CC(O)CC(C)C=O,1,1,0.13,116.16,8
NC1c2ccccc2CC1O,1,1,0.13,149.19,11
Cc1cc2ccccc2n1C=O,1,1,0.13,159.19,12
O=CCC=O,1,1,0.13,72.06,5
C[N+]1C2CCCC1CC2,1,1,0.13,125.22,9
CCCCC1=NC2(CCCC2)C(=O)N1,1,1,0.13,194.28,14
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,1,1,0.13,348.36,26
c1ccc2nonc2c1,1,1,0.13,120.11,9
O=C(O)C1CCn2cccc21,1,1,0.13,151.17,11
Nc1cnnc(N)n1,1,1,0.13,111.11,8
OC1CCC(O)C1,1,1,0.13,102.13,7
CCC(O)CC,1,1,0.13,88.15,6
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,1,1,0.13,321.16,21
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,1,1,0.13,327.82,23
CCCC12CCC(c3ccccc31)c1ccccc12,1,1,0.13,248.37,19
CC1CC2C3CCCC3(C)CCC2C2(C)CCC(=O)C=C12,1,1,0.13,286.46,21
CC1=CC2C3CCCC3(C)CCC2C2(C)CCC(=O)C=C12,1,1,0.13,284.44,21
Cc1cncs1,1,1,0.13,99.16,6
CN1C(C=O)=C([O-])c2ccccc2S1(=O)=O,1,1,0.13,238.24,16
CC12CC3CC(C)(C1)CC(N)(C3)C2,1,1,0.13,179.31,13
Nc1ccc(O)cc1,1,1,0.13,109.13,8
CN(C)C(=N)N=C(N)N,1,1,0.13,129.17,9
Nc1nc(N)c2nccnc2n1,1,1,0.13,162.16,12
CC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,1,1,0.13,275.72,17
